,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,year,month,price*volume,Day_Perc_Change,Trend
146,2019-03-28,97.13,97.59,97.87,96.53,8050000.000000001,2019,3,781896500.0,-0.41013021634369595,Slight or No Change
147,2019-03-27,97.21,98.14,98.86,96.96,8470000.0,2019,3,823368700.0,0.08236384227324756,Slight or No Change
148,2019-03-26,98.32,98.36,98.85,98.03,4950000.0,2019,3,486683999.99999994,1.1418578335562257,Positive
149,2019-03-25,98.17,97.8,98.62,97.63,5410000.0,2019,3,531099700.0,-0.15256305939788106,Slight or No Change
150,2019-03-22,98.28,98.58,99.53,97.94,6710000.0,2019,3,659458800.0,0.11205052460019349,Slight or No Change
151,2019-03-21,99.06,98.25,99.13,98.1,6550000.0,2019,3,648843000.0,0.7936507936507908,Slight positive
152,2019-03-20,98.64,99.2,99.55,98.54,6320000.0,2019,3,623404800.0,-0.4239854633555473,Slight or No Change
153,2019-03-19,99.85,99.99,100.49,99.57,5410000.0,2019,3,540188500.0,1.2266828872668167,Positive
154,2019-03-18,99.66,98.3,99.77,98.26,5770000.0,2019,3,575038200.0,-0.19028542814221172,Slight or No Change
155,2019-03-15,98.42,98.28,98.51,97.6,14600000.0,2019,3,1436932000.0,-1.2442303833032242,Negative
156,2019-03-14,98.22,98.41,98.43,97.59,4930000.0,2019,3,484224600.0,-0.2032107295265262,Slight or No Change
157,2019-03-13,99.03,98.7,99.35,98.39,5480000.0,2019,3,542684400.0,0.8246792913866763,Slight positive
158,2019-03-12,98.37,98.53,98.74,98.05,5070000.0,2019,3,498735900.0,-0.6664647076643382,Slight negative
159,2019-03-11,98.48,98.04,98.58,97.82,5350000.0,2019,3,526868000.0,0.11182271017586842,Slight or No Change
160,2019-03-08,97.59,97.55,98.42,97.0,5660000.0,2019,3,552359400.0,-0.9037367993501189,Slight negative
161,2019-03-07,97.45,97.71,98.2,97.23,6130000.0,2019,3,597368500.0,-0.1434573214468715,Slight or No Change
162,2019-03-06,98.26,98.27,99.0,97.86,4700000.0,2019,3,461822000.0,0.8311954848640335,Slight positive
163,2019-03-05,98.34,98.13,99.19,98.09,6120000.0,2019,3,601840800.0,0.0814166497048685,Slight or No Change
164,2019-03-04,97.85,98.12,98.59,97.37,7680000.0,2019,3,751488000.0,-0.4982713036404407,Slight or No Change
165,2019-03-01,97.93,99.47,99.56,97.12,10350000.0,2019,3,1013575500.0000001,0.08175779253960513,Slight or No Change
166,2019-02-28,98.99,98.11,99.47,97.77,11380000.0,2019,2,1126506200.0,1.082405800061248,Positive
167,2019-02-27,98.11,98.12,98.39,97.59,7900000.0,2019,2,775069000.0,-0.8889786847156245,Slight negative
